"Season","Name","Team","Pos","Inn","playerid"
"1995","Charles Johnson","FLA","C","844.2","523"
"1995","Eric Owens","CIN","3B","4.0","534"
"1995","Mark Smith","BAL","LF","109.0","540"
"1995","Mark Smith","BAL","RF","145.0","540"
"1995","Julian Tavarez","CLE","P","85.0","541"
"1995","Brad Ausmus","SDP","1B","2.0","546"
"1995","Brad Ausmus","SDP","C","821.0","546"
"1995","Jeff Bagwell","HOU","1B","1048.1","547"
"1995","Craig Biggio","HOU","2B","1271.1","549"
"1995","Doug Brocail","HOU","P","77.1","551"
"1995","Brian Hunter","HOU","CF","642.2","562"
"1995","T.J. Mathews","STL","P","29.2","567"
"1995","Dave Mlicki","NYM","P","160.2","569"
"1995","C.J. Nitkowski","- - -","P","71.2","570"
"1995","Shane Reynolds","HOU","P","189.1","574"
"1995","Jose Vizcaino","NYM","2B","2.0","577"
"1995","Jose Vizcaino","NYM","SS","1119.2","577"
"1995","Billy Wagner","HOU","P","0.1","578"
"1995","Gregg Zaun","BAL","C","283.1","580"
"1995","Luis Alicea","BOS","2B","1150.2","584"
"1995","Cory Bailey","STL","P","3.2","588"
"1995","Paul Byrd","NYM","P","22.0","594"
"1995","Jason Grimsley","CLE","P","34.0","602"
"1995","Roberto Hernandez","CHW","P","59.2","605"
"1995","Chuck Knoblauch","MIN","2B","1160.2","609"
"1995","Chuck Knoblauch","MIN","SS","2.2","609"
"1995","Darrell May","ATL","P","4.0","613"
"1995","Brent Mayne","KCR","C","817.1","614"
"1995","Joe Randa","KCR","2B","53.0","623"
"1995","Joe Randa","KCR","3B","135.1","623"
"1995","Bryan Rekar","COL","P","85.0","625"
"1995","Jeff Suppan","BOS","P","22.2","633"
"1995","Mike Sweeney","KCR","C","7.0","634"
"1995","Michael Tucker","KCR","CF","9.0","635"
"1995","Michael Tucker","KCR","LF","233.0","635"
"1995","Michael Tucker","KCR","RF","35.0","635"
"1995","Andy Ashby","SDP","P","192.2","637"
"1995","Kevin Brown","BAL","P","172.1","642"
"1995","Giovanni Carrara","TOR","P","48.2","643"
"1995","Omar Daal","LAD","P","20.0","646"
"1995","Shawn Green","TOR","RF","867.1","651"
"1995","Marquis Grissom","ATL","CF","1158.2","652"
"1995","Mark Grudzielanek","MON","2B","93.2","653"
"1995","Mark Grudzielanek","MON","3B","236.2","653"
"1995","Mark Grudzielanek","MON","SS","282.2","653"
"1995","Brian Jordan","STL","CF","94.2","658"
"1995","Brian Jordan","STL","RF","977.2","658"
"1995","Eric Karros","LAD","1B","1271.2","659"
"1995","Chad Kreuter","SEA","C","176.1","661"
"1995","Terry Mulholland","SFG","P","149.0","665"
"1995","Hideo Nomo","LAD","P","191.1","666"
"1995","Jesse Orosco","BAL","P","49.2","667"
"1995","Paul Quantrill","PHI","P","179.1","669"
"1995","Dennis Springer","PHI","P","22.1","672"
"1995","Jeffrey Hammonds","BAL","RF","373.2","687"
"1995","Jose Hernandez","CHC","2B","226.0","688"
"1995","Jose Hernandez","CHC","3B","119.1","688"
"1995","Jose Hernandez","CHC","SS","234.1","688"
"1995","Curtis Leskanic","COL","P","98.0","694"
"1995","Alex Ochoa","NYM","RF","74.0","700"
"1995","Ryan Thompson","NYM","CF","290.1","713"
"1995","Ryan Thompson","NYM","LF","89.0","713"
"1995","Ryan Thompson","NYM","RF","262.2","713"
"1995","Eric Young","COL","2B","617.2","716"
"1995","Eric Young","COL","LF","98.1","716"
"1995","Eddie Guardado","MIN","P","91.1","727"
"1995","LaTroy Hawkins","MIN","P","27.0","729"
"1995","Denny Hocking","MIN","SS","54.2","730"
"1995","Mike Jackson","CIN","P","49.0","732"
"1995","Tom Prince","LAD","C","108.1","747"
"1995","Brad Radke","MIN","P","181.0","748"
"1995","Rick Reed","CIN","P","17.0","750"
"1995","Mike Trombley","MIN","P","97.2","758"
"1995","Bob Wells","SEA","P","76.2","760"
"1995","Wil Cordero","MON","LF","224.2","770"
"1995","Wil Cordero","MON","SS","928.2","770"
"1995","Joey Eischen","LAD","P","20.1","774"
"1995","Graeme Lloyd","MIL","P","32.0","783"
"1995","Sandy Martinez","TOR","C","472.2","784"
"1995","Troy O'Leary","BOS","CF","100.1","789"
"1995","Troy O'Leary","BOS","LF","81.0","789"
"1995","Troy O'Leary","BOS","RF","673.0","789"
"1995","Todd Williams","LAD","P","19.1","805"
"1995","Alberto T. Castillo","NYM","C","86.1","812"
"1995","Roger Clemens","BOS","P","140.0","815"
"1995","Ron Coomer","MIN","1B","136.0","816"
"1995","Ron Coomer","MIN","3B","81.1","816"
"1995","Ron Coomer","MIN","RF","2.0","816"
"1995","Jason Giambi","OAK","1B","175.1","818"
"1995","Jason Giambi","OAK","3B","225.0","818"
"1995","Sterling Hitchcock","NYY","P","168.1","824"
"1995","Derek Jeter","NYY","SS","120.0","826"
"1995","Mike Mussina","BAL","P","221.2","837"
"1995","Andy Pettitte","NYY","P","175.0","840"
"1995","Jorge Posada","NYY","C","1.0","841"
"1995","Bill Pulsipher","NYM","P","126.2","842"
"1995","Mariano Rivera","NYY","P","67.0","844"
"1995","Mike Stanton","- - -","P","40.1","849"
"1995","John Vander Wal","COL","1B","36.1","853"
"1995","John Vander Wal","COL","LF","29.0","853"
"1995","John Vander Wal","COL","RF","4.0","853"
"1995","Robin Ventura","CHW","1B","107.0","854"
"1995","Robin Ventura","CHW","3B","1016.1","854"
"1995","David Wells","- - -","P","203.0","855"
"1995","Rondell White","MON","CF","967.0","856"
"1995","Rondell White","MON","LF","69.0","856"
"1995","Bernie Williams","NYY","CF","1274.2","857"
"1995","Edgardo Alfonzo","NYM","2B","191.0","859"
"1995","Edgardo Alfonzo","NYM","3B","488.0","859"
"1995","Edgardo Alfonzo","NYM","SS","27.1","859"
"1995","Roberto Alomar","TOR","2B","1126.2","860"
"1995","Pedro Astacio","LAD","P","104.0","862"
"1995","Armando Benitez","BAL","P","47.2","865"
"1995","Jeromy Burnitz","CLE","CF","3.0","867"
"1995","Jeromy Burnitz","CLE","LF","18.0","867"
"1995","Roger Cedeno","LAD","CF","87.2","869"
"1995","Roger Cedeno","LAD","LF","27.2","869"
"1995","Roger Cedeno","LAD","RF","16.1","869"
"1995","Shawn Estes","SFG","P","17.1","873"
"1995","John Franco","NYM","P","51.2","874"
"1995","Mark Guthrie","- - -","P","62.0","876"
"1995","Al Leiter","TOR","P","183.0","883"
"1995","Mike Piazza","LAD","C","941.0","893"
"1995","Steve Trachsel","CHC","P","160.2","898"
"1995","Mo Vaughn","BOS","1B","1225.2","899"
"1995","David Weathers","FLA","P","90.1","902"
"1995","Scott Hatteberg","BOS","C","2.0","916"
"1995","David Justice","ATL","RF","1035.1","923"
"1995","Mike Magnante","KCR","P","44.2","929"
"1995","Jim Mecir","SEA","P","4.2","930"
"1995","Greg Myers","CAL","C","462.2","933"
"1995","Randy Velarde","NYY","2B","472.0","942"
"1995","Randy Velarde","NYY","3B","122.0","942"
"1995","Randy Velarde","NYY","LF","108.2","942"
"1995","Randy Velarde","NYY","RF","1.0","942"
"1995","Randy Velarde","NYY","SS","217.0","942"
"1995","Terry Adams","CHC","P","18.0","946"
"1995","Ricky Bottalico","PHI","P","87.2","948"
"1995","Rheal Cormier","BOS","P","115.0","952"
"1995","Mike Lieberthal","PHI","C","116.2","959"
"1995","Jose Mesa","CLE","P","64.0","961"
"1995","Tomas Perez","TOR","2B","42.0","965"
"1995","Tomas Perez","TOR","3B","2.0","965"
"1995","Tomas Perez","TOR","SS","198.0","965"
"1995","Robert Person","NYM","P","12.0","966"
"1995","Todd Pratt","CHC","C","181.0","968"
"1995","Joe Roa","CLE","P","6.0","969"
"1995","Turk Wendell","CHC","P","60.1","975"
"1995","Mike Benjamin","SFG","2B","43.1","981"
"1995","Mike Benjamin","SFG","3B","288.2","981"
"1995","Mike Benjamin","SFG","SS","89.1","981"
"1995","Brian Boehringer","NYY","P","17.2","984"
"1995","Mike Fetters","MIL","P","34.2","988"
"1995","Brian Giles","CLE","RF","10.0","990"
"1995","Josias Manzanillo","- - -","P","33.1","996"
"1995","Al Reyes","MIL","P","33.1","1005"
"1995","Ron Villone","- - -","P","45.0","1010"
"1995","Mike Williams","PHI","P","87.2","1014"
"1995","Kevin Young","PIT","1B","39.0","1018"
"1995","Kevin Young","PIT","3B","383.1","1018"
"1995","Alan Embree","CLE","P","24.2","1030"
"1995","Ron Gant","CIN","LF","930.1","1032"
"1995","Trevor Hoffman","SDP","P","53.1","1035"
"1995","Trenidad Hubbard","COL","CF","89.0","1036"
"1995","Trenidad Hubbard","COL","LF","18.0","1036"
"1995","Kevin Jarvis","CIN","P","79.0","1037"
"1995","Bobby Jones","NYM","P","195.2","1039"
"1995","Ryan Klesko","ATL","1B","20.1","1041"
"1995","Ryan Klesko","ATL","LF","754.0","1041"
"1995","Tom Lampkin","SFG","C","76.1","1043"
"1995","Tom Lampkin","SFG","LF","11.0","1043"
"1995","Ray Lankford","STL","CF","1116.0","1044"
"1995","Phil Nevin","HOU","3B","142.2","1049"
"1995","Phil Nevin","DET","LF","226.0","1049"
"1995","Steve Reed","COL","P","84.0","1053"
"1995","James Baldwin","CHW","P","14.2","1064"
"1995","Bret Boone","CIN","2B","1214.1","1067"
"1995","Pat Borders","- - -","C","407.2","1068"
"1995","Mike Cameron","CHW","CF","20.0","1070"
"1995","Mike Cameron","CHW","RF","107.0","1070"
"1995","Jeff Cirillo","MIL","1B","7.2","1073"
"1995","Jeff Cirillo","MIL","2B","184.0","1073"
"1995","Jeff Cirillo","MIL","3B","614.1","1073"
"1995","Jeff Cirillo","MIL","SS","4.0","1073"
"1995","Edgar Martinez","SEA","1B","26.0","1086"
"1995","Edgar Martinez","SEA","3B","30.0","1086"
"1995","Mark McLemore","TEX","2B","518.2","1088"
"1995","Mark McLemore","TEX","LF","531.2","1088"
"1995","Mark McLemore","TEX","RF","36.0","1088"
"1995","Jamie Moyer","BAL","P","115.2","1091"
"1995","Jeff Nelson","SEA","P","78.2","1092"
"1995","John Olerud","TOR","1B","1173.0","1093"
"1995","Arthur Rhodes","BAL","P","75.1","1097"
"1995","Ruben Sierra","- - -","RF","578.0","1099"
"1995","Dan Wilson","SEA","C","1017.0","1102"
"1995","Rich Aurilia","SFG","SS","35.1","1106"
"1995","David Bell","STL","2B","317.2","1108"
"1995","David Bell","- - -","3B","21.0","1108"
"1995","Barry Bonds","SFG","LF","1257.0","1109"
"1995","Jason Christiansen","PIT","P","56.1","1111"
"1995","Tom Goodwin","KCR","CF","800.0","1114"
"1995","Tom Goodwin","KCR","LF","302.2","1114"
"1995","Tom Goodwin","KCR","RF","5.2","1114"
"1995","Jeff Kent","NYM","2B","1045.2","1119"
"1995","Robb Nen","FLA","P","65.2","1123"
"1995","Felix Rodriguez","LAD","P","10.2","1127"
"1995","Kirk Rueter","MON","P","47.1","1128"
"1995","Reggie Sanders","CIN","CF","110.0","1129"
"1995","Reggie Sanders","CIN","RF","1028.0","1129"
"1995","Benito Santiago","CIN","1B","23.0","1130"
"1995","Benito Santiago","CIN","C","606.0","1130"
"1995","Jason Schmidt","ATL","P","25.0","1131"
"1995","J.T. Snow","CAL","1B","1249.0","1133"
"1995","Tim Worrell","SDP","P","13.1","1139"
"1995","Andy Benes","- - -","P","181.2","1144"
"1995","Jim Edmonds","CAL","CF","1190.1","1153"
"1995","Jason Isringhausen","NYM","P","93.0","1158"
"1995","Darryl Kile","HOU","P","127.0","1163"
"1995","Al Martin","PIT","CF","289.2","1167"
"1995","Al Martin","PIT","LF","657.1","1167"
"1995","Tino Martinez","SEA","1B","1195.2","1168"
"1995","Mike Matheny","MIL","C","460.0","1169"
"1995","Mike Timlin","TOR","P","42.0","1187"
"1995","Dave Veres","HOU","P","103.1","1188"
"1995","Fernando Vina","MIL","2B","626.2","1189"
"1995","Fernando Vina","MIL","3B","2.2","1189"
"1995","Fernando Vina","MIL","SS","40.2","1189"
"1995","Woody Williams","TOR","P","53.2","1190"
"1995","Wilson Alvarez","CHW","P","175.0","1193"
"1995","Doug Creek","STL","P","6.2","1202"
"1995","John Flaherty","DET","C","916.1","1206"
"1995","Chris Gomez","DET","2B","232.1","1208"
"1995","Chris Gomez","DET","SS","798.0","1208"
"1995","Tanyon Sturtze","CHC","P","2.0","1230"
"1995","Dave Burba","- - -","P","106.2","1239"
"1995","Hector Carrasco","CIN","P","87.1","1240"
"1995","Carl Everett","NYM","CF","80.0","1249"
"1995","Carl Everett","NYM","RF","586.2","1249"
"1995","Juan Gonzalez","TEX","LF","36.0","1251"
"1995","Rusty Greer","TEX","1B","30.0","1252"
"1995","Rusty Greer","TEX","CF","29.0","1252"
"1995","Rusty Greer","TEX","LF","327.2","1252"
"1995","Rusty Greer","TEX","RF","599.2","1252"
"1995","Bill Haselman","BOS","1B","1.0","1254"
"1995","Bill Haselman","BOS","3B","1.0","1254"
"1995","Bill Haselman","BOS","C","334.1","1254"
"1995","Rafael Palmeiro","BAL","1B","1238.0","1266"
"1995","Chan Ho Park","LAD","P","4.0","1267"
"1995","Herbert Perry","CLE","1B","377.2","1270"
"1995","Herbert Perry","CLE","3B","7.0","1270"
"1995","Jay Powell","FLA","P","8.1","1271"
"1995","Alex Rodriguez","SEA","SS","342.0","1274"
"1995","Ivan Rodriguez","TEX","C","1065.0","1275"
"1995","Rich Rodriguez","STL","P","1.2","1276"
"1995","Kenny Rogers","TEX","P","208.0","1277"
"1995","Rudy Seanez","LAD","P","34.2","1279"
"1995","Ismael Valdez","LAD","P","197.2","1283"
"1995","Todd Van Poppel","OAK","P","138.1","1284"
"1995","Pedro Borbon","ATL","P","32.0","1289"
"1995","Carlos Delgado","TOR","1B","21.0","1297"
"1995","Carlos Delgado","TOR","LF","125.0","1297"
"1995","Darrin Fletcher","MON","C","767.1","1302"
"1995","Esteban Loaiza","PIT","P","172.2","1310"
"1995","Raul Mondesi","LAD","CF","223.2","1314"
"1995","Raul Mondesi","LAD","RF","981.0","1314"
"1995","Steve Parris","PIT","P","82.0","1316"
"1995","Dan Plesac","PIT","P","60.1","1319"
"1995","Shannon Stewart","TOR","CF","89.0","1322"
"1995","Pete Walker","NYM","P","17.2","1325"
"1995","John Valentin","BOS","SS","1192.2","1375"
"1995","Mark Johnson","PIT","1B","533.2","1376"
"1995","Quinton McCracken","COL","CF","1.0","1377"
"1995","Keith Lockhart","KCR","2B","426.0","1380"
"1995","Keith Lockhart","KCR","3B","93.0","1380"
"1995","John Mabry","STL","1B","566.1","1381"
"1995","John Mabry","STL","LF","85.0","1381"
"1995","John Mabry","STL","RF","186.2","1381"
"1995","Marvin Benard","SFG","CF","53.2","1382"
"1995","Mark Loretta","MIL","2B","25.0","1383"
"1995","Mark Loretta","MIL","SS","97.0","1383"
"1995","Matt Stairs","BOS","LF","129.0","1384"
"1995","Matt Stairs","BOS","RF","40.0","1384"
"1995","Mike Mordecai","ATL","1B","25.2","1385"
"1995","Mike Mordecai","ATL","2B","72.0","1385"
"1995","Mike Mordecai","ATL","3B","30.1","1385"
"1995","Mike Mordecai","ATL","CF","0.2","1385"
"1995","Mike Mordecai","ATL","SS","10.1","1385"
"1995","Jeff Reboulet","MIN","1B","89.0","1389"
"1995","Jeff Reboulet","MIN","2B","77.1","1389"
"1995","Jeff Reboulet","MIN","3B","115.0","1389"
"1995","Jeff Reboulet","MIN","C","1.0","1389"
"1995","Jeff Reboulet","MIN","SS","249.2","1389"
"1995","Andres Galarraga","COL","1B","1229.1","1390"
"1995","Dave Hollins","PHI","1B","535.2","1391"
"1995","Dave Hollins","BOS","RF","12.0","1391"
"1995","Orlando Merced","PIT","1B","189.1","1393"
"1995","Orlando Merced","PIT","LF","22.0","1393"
"1995","Orlando Merced","PIT","RF","855.2","1393"
"1995","Lenny Harris","CIN","1B","141.1","1394"
"1995","Lenny Harris","CIN","2B","10.2","1394"
"1995","Lenny Harris","CIN","3B","148.2","1394"
"1995","Lenny Harris","CIN","LF","12.0","1394"
"1995","Lenny Harris","CIN","RF","14.0","1394"
"1995","Gerald Williams","NYY","CF","10.0","1395"
"1995","Gerald Williams","NYY","LF","359.0","1395"
"1995","Gerald Williams","NYY","RF","116.1","1395"
"1995","Chris Donnels","BOS","1B","34.0","1396"
"1995","Chris Donnels","- - -","2B","11.0","1396"
"1995","Chris Donnels","- - -","3B","221.0","1396"
"1995","Shawon Dunston","CHC","SS","1043.2","1401"
"1995","Dave Hansen","LAD","3B","377.1","1403"
"1995","Tim Raines","CHW","LF","878.0","1406"
"1995","Tim Raines","CHW","RF","0.1","1406"
"1995","Mark Sweeney","STL","1B","153.1","1408"
"1995","Mark Sweeney","STL","LF","3.0","1408"
"1995","Eduardo Perez","CAL","3B","186.0","1409"
"1995","Chris Nichting","TEX","P","24.1","1414"
"1995","Ed Vosberg","TEX","P","36.0","1426"
"1995","Henry Rodriguez","- - -","1B","81.0","1427"
"1995","Henry Rodriguez","MON","LF","25.0","1427"
"1995","Henry Rodriguez","- - -","RF","185.1","1427"
"1995","Willie Banks","- - -","P","90.2","1434"
"1995","Mike James","CAL","P","55.2","1453"
"1995","David McCarty","- - -","1B","136.1","1462"
"1995","David McCarty","MIN","LF","2.0","1462"
"1995","David McCarty","- - -","RF","40.0","1462"
"1995","Dan Miceli","PIT","P","58.0","1463"
"1995","Hipolito Pichardo","KCR","P","64.0","1472"
"1995","Aaron Small","FLA","P","6.1","1477"
"1995","Tony Tarasco","MON","LF","95.1","1486"
"1995","Tony Tarasco","MON","RF","910.2","1486"
"1995","Matt Franco","CHC","1B","2.0","1499"
"1995","Matt Franco","CHC","2B","9.0","1499"
"1995","Matt Franco","CHC","3B","1.1","1499"
"1995","Yorkis Perez","FLA","P","46.2","1513"
"1995","Karim Garcia","LAD","LF","8.1","1537"
"1995","Karim Garcia","LAD","RF","18.0","1537"
"1995","Chris Widger","SEA","C","96.0","1541"
"1995","Chris Widger","SEA","LF","9.0","1541"
"1995","Chris Widger","SEA","RF","7.0","1541"
"1995","Ruben Rivera","NYY","LF","5.0","1550"
"1995","Andrew Lorraine","CHW","P","8.0","1583"
"1995","Shane Andrews","MON","1B","175.0","1588"
"1995","Shane Andrews","MON","3B","334.2","1588"
"1995","Felix Jose","KCR","RF","60.0","1610"
"1995","Salomon Torres","- - -","P","80.0","1628"
"1995","Russ Springer","- - -","P","78.1","1652"
"1995","Cal Eldred","MIL","P","23.2","1653"
"1995","Doug Linton","KCR","P","22.1","1662"
"1995","Lance Painter","COL","P","45.1","1675"
"1995","David Cone","- - -","P","229.1","1680"
"1995","Tim Laker","MON","C","378.1","1681"
"1995","Scott Service","SFG","P","31.0","1684"
"1995","Steve Avery","ATL","P","173.1","1706"
"1995","Tripp Cromer","STL","2B","67.0","1719"
"1995","Tripp Cromer","STL","SS","758.0","1719"
"1995","Carlos Reyes","OAK","P","69.0","1721"
"1995","Rod Beck","SFG","P","58.2","1730"
"1995","Joe Vitiello","KCR","1B","45.0","1748"
"1995","Curtis Pride","MON","CF","1.0","1762"
"1995","Curtis Pride","MON","LF","117.0","1762"
"1995","John Wasdin","OAK","P","17.1","1768"
"1995","Luis Sojo","SEA","2B","140.2","1834"
"1995","Luis Sojo","SEA","LF","36.0","1834"
"1995","Luis Sojo","SEA","SS","635.2","1834"
"1995","Tim Harikkala","SEA","P","3.1","1909"
"1995","Midre Cummings","PIT","CF","156.2","1927"
"1995","Midre Cummings","PIT","LF","43.2","1927"
"1995","Midre Cummings","PIT","RF","88.2","1927"
"1995","Manny Alexander","BAL","2B","564.0","1954"
"1995","Manny Alexander","BAL","3B","6.0","1954"
"1995","Manny Alexander","BAL","SS","15.0","1954"
"1995","Matt Whiteside","TEX","P","53.0","1956"
"1995","Marc Kroon","SDP","P","1.2","1964"
"1995","Chris Tremie","CHW","C","65.0","1968"
"1995","Roberto Petagine","SDP","1B","262.1","8607"
"1995","Roberto Petagine","SDP","LF","8.0","8607"
"1995","Roberto Petagine","SDP","RF","7.0","8607"
"1995","Jim Abbott","- - -","P","197.0","1000012"
"1995","Kurt Abbott","FLA","SS","975.0","1000013"
"1995","Kyle Abbott","PHI","P","28.1","1000014"
"1995","Mark Acre","OAK","P","52.0","1000037"
"1995","Rick Aguilera","- - -","P","55.1","1000086"
"1995","Pat Ahearne","DET","P","10.0","1000089"
"1995","Jose Alberro","TEX","P","20.2","1000105"
"1995","Mike Aldrete","- - -","1B","189.2","1000114"
"1995","Mike Aldrete","OAK","CF","1.0","1000114"
"1995","Mike Aldrete","- - -","LF","54.0","1000114"
"1995","Mike Aldrete","OAK","RF","23.0","1000114"
"1995","Andy Allanson","CAL","C","219.1","1000130"
"1995","Tavo Alvarez","MON","P","37.1","1000200"
"1995","Rich Amaral","SEA","CF","199.0","1000205"
"1995","Rich Amaral","SEA","LF","247.0","1000205"
"1995","Rich Amaral","SEA","RF","45.0","1000205"
"1995","Ruben Amaro","CLE","CF","88.0","1000207"
"1995","Ruben Amaro","CLE","LF","16.0","1000207"
"1995","Ruben Amaro","CLE","RF","18.0","1000207"
"1995","Scott Anderson","KCR","P","25.1","1000242"
"1995","Luis Andujar","CHW","P","30.1","1000267"
"1995","Eric Anthony","CIN","1B","109.1","1000273"
"1995","Eric Anthony","CIN","CF","6.1","1000273"
"1995","Eric Anthony","CIN","LF","17.1","1000273"
"1995","Eric Anthony","CIN","RF","145.0","1000273"
"1995","Luis Aquino","- - -","P","42.1","1000285"
"1995","Rene Arocha","STL","P","49.2","1000325"
"1995","Billy Ashley","LAD","LF","490.2","1000339"
"1995","Paul Assenmacher","CLE","P","38.1","1000344"
"1995","Rich Aude","PIT","1B","223.2","1000361"
"1995","Joe Ausanio","NYY","P","37.2","1000369"
"1995","Bobby Ayala","SEA","P","71.0","1000384"
"1995","Roger Bailey","COL","P","81.1","1000429"
"1995","Scott Baker","OAK","P","3.2","1000466"
"1995","Scott Bankhead","NYY","P","39.0","1000510"
"1995","Bret Barberie","BAL","2B","543.0","1000524"
"1995","Bret Barberie","BAL","3B","3.0","1000524"
"1995","Brian Barber","STL","P","29.1","1000525"
"1995","Brian Bark","BOS","P","2.1","1000542"
"1995","Jeff Barry","NYM","LF","5.0","1000617"
"1995","Jeff Barry","NYM","RF","2.0","1000617"
"1995","Shawn Barton","SFG","P","44.1","1000633"
"1995","Kevin Bass","BAL","LF","214.1","1000645"
"1995","Kevin Bass","BAL","RF","340.1","1000645"
"1995","Jason Bates","COL","2B","552.0","1000660"
"1995","Jason Bates","COL","3B","103.1","1000660"
"1995","Jason Bates","COL","SS","110.0","1000660"
"1995","Allen Battle","STL","CF","38.0","1000673"
"1995","Allen Battle","STL","LF","105.0","1000673"
"1995","Allen Battle","STL","RF","81.1","1000673"
"1995","Howard Battle","TOR","3B","39.0","1000674"
"1995","Jose Bautista","SFG","P","100.2","1000694"
"1995","Bill Bean","SDP","LF","21.1","1000713"
"1995","Rich Becker","MIN","CF","848.1","1000749"
"1995","Rich Becker","MIN","LF","4.0","1000749"
"1995","Rich Becker","MIN","RF","39.2","1000749"
"1995","Steve Bedrosian","ATL","P","28.0","1000766"
"1995","Tim Belcher","SEA","P","179.1","1000789"
"1995","Stan Belinda","BOS","P","69.2","1000792"
"1995","Derek Bell","HOU","CF","260.0","1000801"
"1995","Derek Bell","HOU","RF","725.2","1000801"
"1995","Albert Belle","CLE","LF","1265.0","1000802"
"1995","Rafael Belliard","ATL","2B","226.1","1000811"
"1995","Rafael Belliard","ATL","SS","280.0","1000811"
"1995","Juan Bell","BOS","2B","28.0","1000813"
"1995","Juan Bell","BOS","3B","2.0","1000813"
"1995","Juan Bell","BOS","SS","45.0","1000813"
"1995","Esteban Beltre","TEX","2B","77.2","1000823"
"1995","Esteban Beltre","TEX","3B","1.0","1000823"
"1995","Esteban Beltre","TEX","SS","184.1","1000823"
"1995","Yamil Benitez","MON","CF","7.0","1000834"
"1995","Yamil Benitez","MON","LF","8.0","1000834"
"1995","Yamil Benitez","MON","RF","63.2","1000834"
"1995","Erik Bennett","CAL","P","0.1","1000839"
"1995","Todd Benzinger","SFG","1B","16.0","1000859"
"1995","Sean Bergman","DET","P","135.1","1000881"
"1995","Geronimo Berroa","OAK","LF","114.0","1000900"
"1995","Geronimo Berroa","OAK","RF","443.0","1000900"
"1995","Damon Berryhill","CIN","1B","2.0","1000904"
"1995","Damon Berryhill","CIN","C","208.1","1000904"
"1995","Sean Berry","MON","1B","24.0","1000910"
"1995","Sean Berry","MON","3B","674.2","1000910"
"1995","Mike Bertotti","CHW","P","14.1","1000916"
"1995","Andres Berumen","SDP","P","44.1","1000919"
"1995","Dante Bichette","COL","LF","1011.1","1000946"
"1995","Dante Bichette","COL","RF","184.0","1000946"
"1995","Mike Bielecki","CAL","P","75.1","1000951"
"1995","Mike Birkbeck","NYM","P","27.2","1000981"
"1995","Bud Black","CLE","P","47.1","1001007"
"1995","Willie Blair","SDP","P","114.0","1001033"
"1995","Jeff Blauser","ATL","SS","997.0","1001062"
"1995","Ben Blomdahl","DET","P","24.1","1001082"
"1995","Mike Blowers","SEA","1B","33.2","1001088"
"1995","Mike Blowers","SEA","3B","1008.2","1001088"
"1995","Mike Blowers","SEA","LF","8.0","1001088"
"1995","Mike Blowers","SEA","RF","18.0","1001088"
"1995","Doug Bochtler","SDP","P","45.1","1001107"
"1995","Joe Boever","DET","P","98.2","1001118"
"1995","Tim Bogar","NYM","1B","49.0","1001120"
"1995","Tim Bogar","NYM","2B","32.0","1001120"
"1995","Tim Bogar","NYM","3B","115.0","1001120"
"1995","Tim Bogar","NYM","LF","2.0","1001120"
"1995","Tim Bogar","NYM","SS","141.2","1001120"
"1995","Wade Boggs","NYY","1B","58.2","1001124"
"1995","Wade Boggs","NYY","3B","935.0","1001124"
"1995","Brian Bohanon","DET","P","105.2","1001126"
"1995","Rodney Bolton","CHW","P","22.0","1001154"
"1995","Ricky Bones","MIL","P","200.1","1001161"
"1995","Bobby Bonilla","NYM","1B","67.0","1001168"
"1995","Bobby Bonilla","- - -","3B","569.0","1001168"
"1995","Bobby Bonilla","- - -","LF","258.1","1001168"
"1995","Bobby Bonilla","BAL","RF","322.0","1001168"
"1995","Chris Bosio","SEA","P","170.0","1001212"
"1995","Shawn Boskie","CAL","P","111.2","1001213"
"1995","Ryan Bowen","FLA","P","16.2","1001248"
"1995","Terry Bradshaw","STL","CF","17.0","1001320"
"1995","Terry Bradshaw","STL","LF","44.0","1001320"
"1995","Terry Bradshaw","STL","RF","9.0","1001320"
"1995","Doug Brady","CHW","2B","45.0","1001326"
"1995","Mark Brandenburg","TEX","P","27.1","1001350"
"1995","Jeff Branson","CIN","1B","0.2","1001355"
"1995","Jeff Branson","CIN","2B","5.1","1001355"
"1995","Jeff Branson","CIN","3B","680.2","1001355"
"1995","Jeff Branson","CIN","SS","160.0","1001355"
"1995","Jeff Brantley","CIN","P","70.1","1001358"
"1995","Billy Brewer","KCR","P","45.1","1001404"
"1995","Jamie Brewington","SFG","P","75.1","1001411"
"1995","John Briscoe","OAK","P","18.1","1001441"
"1995","Jorge Brito","COL","C","127.0","1001445"
"1995","Rico Brogna","NYM","1B","1089.2","1001464"
"1995","Jeff Bronkey","MIL","P","12.1","1001468"
"1995","Scott Brosius","OAK","1B","126.1","1001477"
"1995","Scott Brosius","OAK","2B","19.0","1001477"
"1995","Scott Brosius","OAK","3B","445.1","1001477"
"1995","Scott Brosius","OAK","CF","149.1","1001477"
"1995","Scott Brosius","OAK","LF","37.0","1001477"
"1995","Scott Brosius","OAK","RF","148.1","1001477"
"1995","Scott Brosius","OAK","SS","4.0","1001477"
"1995","Jarvis Brown","BAL","CF","62.0","1001524"
"1995","Jarvis Brown","BAL","RF","20.0","1001524"
"1995","Jerry Browne","FLA","2B","189.0","1001525"
"1995","Jerry Browne","FLA","3B","35.0","1001525"
"1995","Jerry Browne","FLA","CF","63.0","1001525"
