Season,Name,Team,Age,playerid,Pos_Cat
2001,Jose Canseco,CHW,36,1001918,DH
1990,Harold Baines,- - -,31,1000434,DH
1993,Tim Naehring,BOS,26,1009433,DH
1990,Danny Tartabull,KCR,27,1012829,DH
2019,Edwin Encarnacion,- - -,36,2151,DH
2002,Ray Durham,- - -,30,230,DH
1989,Jim Dwyer,- - -,39,1003608,DH
2020,Michael Brantley,HOU,33,4106,DH
2001,Tony Clark,DET,29,182,DH
2005,Casey Kotchman,LAA,22,1930,DH
2007,Travis Hafner,CLE,30,1573,DH
2000,Jose Canseco,- - -,35,1001918,DH
2020,Ty France,- - -,25,17982,DH
1998,David Justice,CLE,32,923,DH
2002,Frank Thomas,CHW,34,255,DH
1999,Marty Cordova,MIN,29,132,DH
1988,Brian Downing,CAL,37,1003451,DH
2009,Mitch Jones,LAD,31,3006,DH
2015,Jose Abreu,CHW,28,15676,DH
2014,Terrance Gore,KCR,23,13658,DH
2015,Alex Rodriguez,NYY,39,1274,DH
2018,Nelson Cruz,SEA,37,2434,DH
1981,Cliff Johnson,OAK,33,1006437,DH
2001,Raul Ibanez,KCR,29,607,DH
1994,Harold Baines,BAL,35,1000434,DH
1997,Harold Baines,- - -,38,1000434,DH
2015,Prince Fielder,TEX,31,4613,DH
1981,Bobby Murcer,NYY,35,1009338,DH
1996,Darryl Strawberry,NYY,34,1012606,DH
2004,Midre Cummings,TBD,32,1927,DH
2005,Rondell White,DET,33,856,DH
1987,Harold Baines,CHW,28,1000434,DH
1995,Pedro Munoz,MIN,26,1009331,DH
1995,John Kruk,CHW,34,1007184,DH
2019,Luke Voit,NYY,28,14811,DH
2018,Giancarlo Stanton,NYY,28,4949,DH
1997,Reggie Jefferson,BOS,28,1006381,DH
2008,Kila Ka'aihue,KCR,24,4707,DH
2022,Stone Garrett,ARI,26,19273,DH
1998,Chili Davis,NYY,38,1003041,DH
1980,Carl Yastrzemski,BOS,40,1014326,DH
1982,Benny Ayala,BAL,31,1000383,DH
2003,Josh Phelps,TOR,25,1318,DH
2008,Rocco Baldelli,TBR,26,1656,DH
2002,David Ortiz,MIN,26,745,DH
2010,Travis Hafner,CLE,33,1573,DH
1987,Ron Kittle,NYY,29,1006982,DH
2000,Juan Gonzalez,DET,30,1251,DH
2003,Matthew LeCroy,MIN,27,1456,DH
1994,Troy Neel,OAK,28,1009480,DH
1994,Danny Tartabull,NYY,31,1012829,DH
1986,Jim Dwyer,BAL,36,1003608,DH
2016,Carlos Beltran,- - -,39,589,DH
2002,Scott Hatteberg,OAK,32,916,DH
2016,Mark Trumbo,BAL,30,6876,DH
1985,Mel Hall,CLE,24,1005259,DH
2004,Mike Sweeney,KCR,30,634,DH
1995,Darryl Strawberry,NYY,33,1012606,DH
2010,Hideki Matsui,LAA,36,1659,DH
2002,Shannon Stewart,TOR,28,1322,DH
1989,Lee Mazzilli,- - -,34,1008318,DH
1998,Harold Baines,BAL,39,1000434,DH
1984,Dave Kingman,OAK,35,1006939,DH
2010,Jorge Posada,NYY,38,841,DH
2004,Bucky Jacobsen,SEA,28,2368,DH
1999,Butch Huskey,- - -,27,1006228,DH
1990,Sam Horn,BAL,26,1006029,DH
2022,Willson Contreras,CHC,30,11609,DH
2000,Mark Quinn,KCR,26,621,DH
2005,Matt Stairs,KCR,37,1384,DH
1993,Carlos Delgado,TOR,21,1297,DH
1996,Cecil Fielder,- - -,32,1004026,DH
1982,Mitchell Page,OAK,30,1009954,DH
2009,Travis Hafner,CLE,32,1573,DH
1981,Benny Ayala,BAL,30,1000383,DH
1985,Ken Phelps,SEA,30,1010277,DH
2001,Brian Buchanan,MIN,27,720,DH
1980,Richie Zisk,TEX,31,1014455,DH
2022,Byron Buxton,MIN,28,14161,DH
2009,Luke Scott,BAL,31,3469,DH
2018,Shin-Soo Choo,TEX,35,3174,DH
1985,Daryl Sconiers,CAL,26,1011670,DH
1987,Darrell Porter,TEX,35,1010450,DH
1986,Darrell Evans,DET,39,1003864,DH
1985,Jeff Burroughs,TOR,34,1001731,DH
1995,Rudy Pemberton,DET,25,1010139,DH
1996,Mickey Tettleton,TEX,35,1012939,DH
1982,Carl Yastrzemski,BOS,42,1014326,DH
1999,Chili Davis,NYY,39,1003041,DH
1998,Lee Stevens,TEX,30,796,DH
1990,John Olerud,TOR,21,1093,DH
1998,Tim Raines,NYY,38,1406,DH
1998,Jose Canseco,TOR,33,1001918,DH
1983,Dave Engle,MIN,26,1003781,DH
1981,Otto Velez,TOR,30,1013399,DH
2021,Franmil Reyes,CLE,25,14566,DH
2000,David Ortiz,MIN,24,745,DH
2003,Greg Vaughn,COL,37,1233,DH
2011,Travis Hafner,CLE,34,1573,DH
2004,David Newhan,BAL,30,2009,DH
1995,Kirk Gibson,DET,38,1004669,DH
1995,Cecil Fielder,DET,31,1004026,DH
1991,Kevin Reimer,TEX,27,1010807,DH
2004,Calvin Pickering,KCR,27,208,DH
1992,Albert Belle,CLE,25,1000802,DH
1996,Norberto Martin,CHW,29,1008185,DH
1997,Jack Howell,ANA,35,1006099,DH
1993,Julio Franco,TEX,34,87,DH
2009,Julio Borbon,TEX,23,3209,DH
1984,Larry Parrish,TEX,30,1010020,DH
1986,Dave Clark,CLE,23,1002277,DH
1985,Hal McRae,KCR,39,1008687,DH
2019,Shin-Soo Choo,TEX,36,3174,DH
